,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01111100.xes,Heuristics miner)",126,3,0.21639693245126462,0,38,0.9682539682539683,3.6551724137931036,6,0.6912751677852349,1.1825396825396826,0.019360706860706862,47,0
"(pdc2025_01010000.xes,Heuristics miner)",124,1,0.0,0,25,0.967741935483871,3.04,4,0.5588235294117647,1.096774193548387,0.017857142857142856,39,0
"(pdc2025_01110011.xes,Heuristics miner)",124,0,0.0,0,25,0.967741935483871,3.0833333333333335,4,0.5441176470588236,1.096774193548387,0.017857142857142856,39,0
"(pdc2025_01101010.xes,Heuristics miner)",149,2,0.35335933502142136,1,39,0.9731543624161074,3.6,5,0.5930232558139534,1.1543624161073827,0.015808823529411764,52,0
"(pdc2025_01111011.xes,Heuristics miner)",135,2,0.4488644887230294,2,42,0.9703703703703703,3.6875,6,0.6770186335403727,1.1925925925925926,0.01819620253164557,50,0
"(pdc2025_00010110.xes,Heuristics miner)",66,5,0.7219280948873623,2,15,0.9393939393939394,3.3333333333333335,6,0.5466666666666666,1.1363636363636365,0.034722222222222224,20,0
"(pdc2025_10110010.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_11111010.xes,Heuristics miner)",127,3,0.5032583347756457,2,32,0.9685039370078741,3.4074074074074074,6,0.5724137931034483,1.141732283464567,0.018234406438631792,42,0
"(pdc2025_10110011.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_12011000.xes,Heuristics miner)",154,4,0.20062232431271465,0,44,0.8636363636363636,3.75,5,0.6629834254143646,1.1753246753246753,0.015711805555555555,57,0
"(pdc2025_02101111.xes,Heuristics miner)",161,6,0.16866093149667025,0,56,0.9751552795031055,3.75,6,0.7538461538461538,1.2111801242236024,0.015705541237113402,64,0
"(pdc2025_00100000.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_10000100.xes,Heuristics miner)",77,9,0.8366407419411672,3,14,0.922077922077922,3.3333333333333335,5,0.5116279069767442,1.1168831168831168,0.029132791327913278,22,0
"(pdc2025_12110110.xes,Heuristics miner)",133,3,0.21639693245126462,0,33,0.8947368421052632,3.310344827586207,5,0.6158940397350994,1.1353383458646618,0.01735632183908046,45,0
"(pdc2025_00101000.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_00110110.xes,Heuristics miner)",67,4,0.6962122601251458,2,17,0.9402985074626866,3.375,6,0.5844155844155844,1.1492537313432836,0.034684684684684684,21,0
"(pdc2025_10111010.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_12011110.xes,Heuristics miner)",141,6,0.19143325481419343,0,45,0.9716312056737588,3.588235294117647,5,0.7125748502994012,1.1843971631205674,0.017345243041130037,53,0
"(pdc2025_10101110.xes,Heuristics miner)",81,7,0.7424875695421236,3,21,0.9506172839506173,3.473684210526316,5,0.574468085106383,1.1604938271604939,0.029012345679012345,26,0
"(pdc2025_10011010.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
"(pdc2025_02110111.xes,Heuristics miner)",137,0,0.0,0,38,0.9708029197080292,3.375,6,0.6835443037974683,1.1532846715328466,0.017241379310344827,49,0
"(pdc2025_10100010.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_02110110.xes,Heuristics miner)",137,0,0.0,0,38,0.9708029197080292,3.375,6,0.6835443037974683,1.1532846715328466,0.017241379310344827,49,0
"(pdc2025_11001100.xes,Heuristics miner)",127,3,0.2580186686648155,0,24,0.8818897637795275,3.130434782608696,4,0.5179856115107914,1.094488188976378,0.01736631684157921,39,0
"(pdc2025_10001010.xes,Heuristics miner)",85,1,0.5665095065529053,1,14,0.9529411764705882,3.066666666666667,4,0.44565217391304346,1.0823529411764705,0.025555555555555557,24,0
"(pdc2025_00000110.xes,Heuristics miner)",79,4,0.6500224216483541,2,18,0.9493670886075949,3.2222222222222223,4,0.550561797752809,1.1265822784810127,0.028746770025839793,24,0
"(pdc2025_12111000.xes,Heuristics miner)",158,1,0.0,0,49,0.9746835443037974,3.7714285714285714,5,0.7021276595744681,1.1898734177215189,0.015625,61,0
"(pdc2025_01001110.xes,Heuristics miner)",134,5,0.21639693245126462,0,35,0.9701492537313433,3.3793103448275863,5,0.6209150326797386,1.1417910447761195,0.01735480943738657,46,0
"(pdc2025_11101100.xes,Heuristics miner)",132,5,0.228538143953528,0,32,0.9696969696969697,3.3333333333333335,5,0.5838926174496644,1.128787878787879,0.017357875116495808,44,0
"(pdc2025_02000000.xes,Heuristics miner)",160,0,0.2974722489192896,1,37,0.9625,3.0,3,0.6292134831460674,1.1125,0.014046717171717172,51,0
"(pdc2025_01010111.xes,Heuristics miner)",119,2,0.5159469300074474,2,31,0.9663865546218487,3.4615384615384617,6,0.5912408759124088,1.1512605042016806,0.019661308840413318,40,0
"(pdc2025_02100111.xes,Heuristics miner)",148,4,0.19143325481419343,0,39,0.972972972972973,3.2941176470588234,5,0.6449704142011834,1.1418918918918919,0.015718005952380952,51,0
"(pdc2025_12110100.xes,Heuristics miner)",133,1,0.0,0,32,0.9323308270676691,3.3333333333333335,5,0.6,1.1278195488721805,0.017241379310344827,45,0
"(pdc2025_00100111.xes,Heuristics miner)",81,7,0.7424875695421236,3,21,0.9506172839506173,3.473684210526316,5,0.574468085106383,1.1604938271604939,0.029012345679012345,26,0
"(pdc2025_12111011.xes,Heuristics miner)",156,4,0.3095434291503252,1,50,0.9743589743589743,3.7222222222222223,5,0.6881720430107527,1.1923076923076923,0.01579483695652174,59,0
"(pdc2025_12000110.xes,Heuristics miner)",142,3,0.21639693245126462,0,30,0.9014084507042254,3.103448275862069,4,0.554140127388535,1.1056338028169015,0.015725160256410256,45,0
"(pdc2025_12001100.xes,Heuristics miner)",148,4,0.20062232431271465,0,38,0.8986486486486487,3.375,5,0.6390532544378698,1.1418918918918919,0.015718005952380952,51,0
"(pdc2025_00101110.xes,Heuristics miner)",79,4,0.6500224216483541,2,18,0.9493670886075949,3.2222222222222223,4,0.550561797752809,1.1265822784810127,0.028746770025839793,24,0
"(pdc2025_12010010.xes,Heuristics miner)",148,3,0.4220005168831531,2,41,0.972972972972973,3.3714285714285714,6,0.6374269005847953,1.1554054054054055,0.015904017857142856,51,0
"(pdc2025_00011110.xes,Heuristics miner)",67,4,0.6962122601251458,2,17,0.9402985074626866,3.375,6,0.5844155844155844,1.1492537313432836,0.034684684684684684,21,0
"(pdc2025_00000011.xes,Heuristics miner)",86,0,0.5435644431995964,1,16,0.9534883720930233,3.125,4,0.46808510638297873,1.0930232558139534,0.025543478260869567,25,0
"(pdc2025_10010111.xes,Heuristics miner)",66,5,0.7219280948873623,2,15,0.9393939393939394,3.3333333333333335,6,0.5466666666666666,1.1363636363636365,0.034722222222222224,20,0
"(pdc2025_12001011.xes,Heuristics miner)",173,1,0.2811937964320427,1,52,0.976878612716763,3.5609756097560976,5,0.6911764705882353,1.1791907514450868,0.014026402640264026,64,0
"(pdc2025_00011111.xes,Heuristics miner)",67,4,0.6962122601251458,2,17,0.9402985074626866,3.375,6,0.5844155844155844,1.1492537313432836,0.034684684684684684,21,0
"(pdc2025_10100100.xes,Heuristics miner)",81,7,0.7424875695421236,3,21,0.9506172839506173,3.473684210526316,5,0.574468085106383,1.1604938271604939,0.029012345679012345,26,0
