,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01001111.xes,Alpha miner)",71,21,0.9839393951635756,35,58,0.9577464788732395,4.446808510638298,11,1.0,1.732394366197183,0.050492610837438424,0,35
"(pdc2025_10101000.xes,Alpha miner)",39,4,0.9819407868640977,5,16,1.0,3.0526315789473686,4,0.8775510204081632,1.2564102564102564,0.06447368421052632,0,5
"(pdc2025_00110010.xes,Alpha miner)",23,2,0.8112781244591328,3,13,0.9130434782608696,4.75,11,1.0,1.3478260869565217,0.13839285714285715,0,3
"(pdc2025_11000011.xes,Alpha miner)",65,18,0.9934472383802027,23,46,0.9384615384615385,4.166666666666667,10,0.9903846153846154,1.6,0.04924242424242424,0,17
"(pdc2025_12110011.xes,Alpha miner)",86,14,0.865693994199322,76,86,0.9767441860465116,5.136986301369863,13,1.0,2.244186046511628,0.055844907407407406,0,48
"(pdc2025_00001010.xes,Alpha miner)",37,6,0.9709505944546686,12,27,0.9189189189189189,4.3,11,0.9649122807017544,1.5405405405405406,0.0838235294117647,0,8
"(pdc2025_02101010.xes,Alpha miner)",140,26,0.7674044165839726,151,147,0.9857142857142858,5.472,21,1.0,2.5142857142857142,0.04700854700854701,0,99
"(pdc2025_11000110.xes,Alpha miner)",71,48,0.9852281360342515,34,61,0.971830985915493,4.833333333333333,11,0.9838709677419355,1.7464788732394365,0.05090311986863711,0,35
"(pdc2025_00001000.xes,Alpha miner)",38,0,0.954434002924965,3,14,1.0,3.0,3,0.8695652173913043,1.2105263157894737,0.06388888888888888,0,4
"(pdc2025_00001110.xes,Alpha miner)",40,4,0.9366673818775626,18,25,0.975,5.176470588235294,10,0.96875,1.6,0.08080808080808081,0,16
"(pdc2025_00111011.xes,Alpha miner)",27,3,0.8812908992306927,7,18,0.962962962962963,5.2,12,0.9523809523809523,1.5555555555555556,0.11931818181818182,0,5
"(pdc2025_11001111.xes,Alpha miner)",63,9,0.9824740868386409,32,53,0.9523809523809523,4.355555555555555,11,1.0,1.7619047619047619,0.05628803245436106,0,26
"(pdc2025_11011011.xes,Alpha miner)",57,16,0.9919924034538556,28,39,0.9649122807017544,4.2894736842105265,9,1.0,1.6491228070175439,0.05788177339901478,0,23
"(pdc2025_10110100.xes,Alpha miner)",30,0,0.9182958340544896,2,4,0.3666666666666667,2.8333333333333335,3,0.5333333333333333,1.0,0.06666666666666667,0,1
"(pdc2025_12111010.xes,Alpha miner)",71,24,0.9059282160429991,47,51,0.971830985915493,4.517857142857143,10,1.0,1.9014084507042253,0.054086538461538464,0,28
"(pdc2025_02101100.xes,Alpha miner)",102,66,0.8731720603476304,82,127,1.0,5.195652173913044,22,0.991869918699187,2.411764705882353,0.054910714285714285,0,59
"(pdc2025_11101111.xes,Alpha miner)",75,11,0.9182958340544896,53,56,0.9733333333333334,4.814814814814815,12,1.0,1.9333333333333333,0.05434782608695652,0,41
"(pdc2025_01111100.xes,Alpha miner)",66,21,1.0,30,51,1.0,4.130434782608695,9,0.9911504424778761,1.7121212121212122,0.05432692307692308,0,30
"(pdc2025_01010000.xes,Alpha miner)",59,4,0.9751190649408661,10,23,0.9661016949152542,3.259259259259259,4,0.8,1.271186440677966,0.043202764976958526,0,9
"(pdc2025_01110011.xes,Alpha miner)",76,16,0.9656361333706098,51,53,0.9736842105263158,5.086956521739131,12,1.0,1.868421052631579,0.05282738095238095,0,44
"(pdc2025_01101010.xes,Alpha miner)",98,29,0.8607781176165942,89,87,0.9795918367346939,5.098765432098766,17,1.0,2.2346938775510203,0.05184659090909091,0,64
"(pdc2025_01111011.xes,Alpha miner)",53,7,0.9940302114769565,25,39,0.9622641509433962,4.545454545454546,12,1.0,1.6415094339622642,0.062142857142857146,0,19
"(pdc2025_00010110.xes,Alpha miner)",21,6,0.9709505944546686,2,12,0.8095238095238095,5.8,10,0.96,1.1904761904761905,0.1388888888888889,0,2
"(pdc2025_10110010.xes,Alpha miner)",23,3,0.9852281360342515,4,12,0.8260869565217391,5.0,10,0.9333333333333333,1.3043478260869565,0.13392857142857142,0,1
"(pdc2025_11111010.xes,Alpha miner)",70,48,0.9357110512652843,41,78,0.9714285714285714,4.907407407407407,12,1.0,2.085714285714286,0.06207482993197279,0,38
"(pdc2025_10110011.xes,Alpha miner)",23,3,0.9852281360342515,4,12,0.8260869565217391,5.0,10,0.9333333333333333,1.3043478260869565,0.13392857142857142,0,1
"(pdc2025_12011000.xes,Alpha miner)",102,30,0.9252253278054431,77,110,1.0,4.702127659574468,16,1.0,2.2450980392156863,0.05111607142857143,0,59
"(pdc2025_02101111.xes,Alpha miner)",74,22,0.9299429352091801,54,63,0.972972972972973,4.963636363636364,12,1.0,2.0,0.05505952380952381,0,36
"(pdc2025_00100000.xes,Alpha miner)",39,0,0.9182958340544896,2,10,0.9487179487179487,3.0,3,0.7272727272727273,1.1282051282051282,0.05789473684210526,0,1
"(pdc2025_10000100.xes,Alpha miner)",34,0,1.0,1,3,0.23529411764705888,3.0,3,0.375,0.9411764705882353,0.05555555555555555,0,0
"(pdc2025_12110110.xes,Alpha miner)",83,21,0.8918107543797082,67,70,0.963855421686747,4.823529411764706,14,0.9886363636363636,2.1204819277108435,0.0561941251596424,0,46
"(pdc2025_00101000.xes,Alpha miner)",39,4,0.9927744539878083,5,16,1.0,3.0,3,0.8775510204081632,1.2564102564102564,0.06447368421052632,0,5
"(pdc2025_00110110.xes,Alpha miner)",20,5,0.9182958340544896,1,11,0.95,5.0,10,0.96,1.25,0.16666666666666666,0,1
"(pdc2025_10111010.xes,Alpha miner)",26,2,0.863120568566631,7,17,0.9230769230769231,7.0,13,1.0,1.5769230769230769,0.128125,0,8
"(pdc2025_12011110.xes,Alpha miner)",73,9,0.9432261548473415,44,68,0.9726027397260274,4.344262295081967,11,0.9858156028368794,1.9315068493150684,0.05525078369905956,0,38
"(pdc2025_10101110.xes,Alpha miner)",27,4,0.9940302114769565,5,17,0.8148148148148149,4.7272727272727275,11,0.9736842105263158,1.4074074074074074,0.11728395061728394,0,5
"(pdc2025_10011010.xes,Alpha miner)",22,1,0.863120568566631,4,14,0.9090909090909091,5.142857142857143,11,1.0,1.3181818181818181,0.15104166666666666,0,4
"(pdc2025_02110111.xes,Alpha miner)",65,2,0.9807983646944296,33,48,0.9692307692307692,4.441860465116279,10,0.9819819819819819,1.7076923076923076,0.05316091954022988,0,27
"(pdc2025_10100010.xes,Alpha miner)",32,10,0.9957274520849255,10,17,0.875,4.615384615384615,10,0.9761904761904762,1.3125,0.0875,0,5
"(pdc2025_02110110.xes,Alpha miner)",65,2,0.9807983646944296,33,48,0.9692307692307692,4.441860465116279,10,0.9819819819819819,1.7076923076923076,0.05316091954022988,0,27
"(pdc2025_11001100.xes,Alpha miner)",64,10,0.9952525494396791,16,32,0.96875,3.3783783783783785,7,0.9195402298850575,1.359375,0.04285714285714286,0,17
"(pdc2025_10001010.xes,Alpha miner)",37,7,0.954434002924965,12,24,0.9459459459459459,4.5625,11,0.9444444444444444,1.4594594594594594,0.07941176470588235,0,8
"(pdc2025_00000110.xes,Alpha miner)",27,3,0.9940302114769565,4,17,0.8888888888888888,4.181818181818182,9,0.9705882352941176,1.2592592592592593,0.10493827160493827,0,3
"(pdc2025_12111000.xes,Alpha miner)",127,32,0.8238116333123173,148,152,1.0,5.516129032258065,19,1.0,2.716535433070866,0.05674342105263158,0,89
"(pdc2025_01001110.xes,Alpha miner)",71,21,0.9839393951635756,35,58,0.9577464788732395,4.446808510638298,11,1.0,1.732394366197183,0.050492610837438424,0,35
"(pdc2025_11101100.xes,Alpha miner)",94,50,0.9224062617590723,67,100,1.0,4.85,14,1.0,2.1914893617021276,0.054641909814323604,0,54
"(pdc2025_02000000.xes,Alpha miner)",72,0,0.9760206482366149,15,43,0.9722222222222222,3.409090909090909,6,0.9509803921568627,1.4166666666666667,0.03935185185185185,0,11
"(pdc2025_01010111.xes,Alpha miner)",44,8,0.8904916402194913,9,15,0.9318181818181819,4.461538461538462,11,0.8703703703703703,1.2272727272727273,0.057692307692307696,0,9
"(pdc2025_02100111.xes,Alpha miner)",69,5,0.9709505944546686,34,51,0.9710144927536232,4.333333333333333,11,1.0,1.6376811594202898,0.04771959459459459,0,30
"(pdc2025_12110100.xes,Alpha miner)",93,7,0.9301497323974337,88,100,0.978494623655914,5.308641975308642,13,1.0,2.4193548387096775,0.060614224137931036,0,57
"(pdc2025_00100111.xes,Alpha miner)",25,4,0.9182958340544896,1,8,0.6799999999999999,6.0,9,0.6538461538461539,1.04,0.10317460317460317,0,0
"(pdc2025_12111011.xes,Alpha miner)",71,24,0.9059282160429991,47,51,0.971830985915493,4.517857142857143,10,1.0,1.9014084507042253,0.054086538461538464,0,28
"(pdc2025_12000110.xes,Alpha miner)",76,41,0.9728063221185,50,51,0.9736842105263158,4.129032258064516,9,1.0,1.8157894736842106,0.049005681818181816,0,33
